2020-11-24 09:54:04.309  INFO 12696 --- [main] studio.rockpile.Application              : Starting Application on USER-20190525CB with PID 12696 (E:\github\document\demo-server\target\classes started by Administrator in E:\github\document\demo-server)
2020-11-24 09:54:04.312 DEBUG 12696 --- [main] studio.rockpile.Application              : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
2020-11-24 09:54:04.312  INFO 12696 --- [main] studio.rockpile.Application              : No active profile set, falling back to default profiles: default
2020-11-24 09:54:07.480  INFO 12696 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3005 ms
2020-11-24 09:54:07.776  INFO 12696 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-24 09:54:08.177  INFO 12696 --- [main] o.s.b.w.e.u.UndertowServletWebServer     : Undertow started on port(s) 5030 (http) with context path ''
2020-11-24 09:54:08.179  INFO 12696 --- [main] studio.rockpile.Application              : Started Application in 5.906 seconds (JVM running for 7.992)
2020-11-24 09:54:08.180  INFO 12696 --- [main] studio.rockpile.Application              : ====== 启动成功 ======
2020-11-24 09:54:14.713  INFO 12696 --- [XNIO-1 task-4] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-11-24 09:54:14.717  INFO 12696 --- [XNIO-1 task-4] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2020-11-24 09:54:14.812 DEBUG 12696 --- [XNIO-1 task-2] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 09:54:15.072 DEBUG 12696 --- [XNIO-1 task-7] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 09:54:15.072 DEBUG 12696 --- [XNIO-1 task-6] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 09:54:15.072 DEBUG 12696 --- [XNIO-1 task-8] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
